# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 22 May 2023 03:08:13 +0200
#
# IP	number of (black)lists
#
5.10.250.122	10
162.247.74.74	10
202.90.198.2	10
59.19.54.199	9
162.247.74.206	9
45.95.147.200	9
51.75.194.10	9
171.25.193.77	9
171.25.193.78	9
176.96.138.216	9
51.89.153.112	9
47.236.25.5	9
170.210.208.108	9
179.43.163.132	9
162.247.74.217	9
171.25.193.235	9
171.25.193.20	9
45.95.147.210	9
45.95.147.212	9
167.86.94.107	9
101.42.25.236	9
23.94.181.24	9
80.82.77.33	8
183.146.30.163	8
180.101.88.247	8
104.248.10.177	8
89.234.157.254	8
142.93.113.139	8
218.92.0.34	8
176.111.173.47	8
162.142.125.223	8
43.134.169.163	8
218.92.0.107	8
82.200.65.218	8
51.222.137.64	8
52.230.106.37	8
193.35.18.61	8
157.230.6.109	8
178.20.55.16	8
162.247.72.199	8
103.163.215.12	8
52.131.82.100	8
107.179.43.178	8
59.13.166.87	8
61.177.172.185	8
162.247.74.27	8
185.220.103.7	8
192.3.231.211	8
36.110.228.254	8
20.219.149.128	8
45.95.147.219	8
80.94.95.240	8
47.236.27.111	8
190.144.14.170	8
222.168.30.19	8
162.142.125.215	8
218.92.0.112	8
120.34.199.240	8
115.238.146.138	8
84.242.124.74	8
54.183.195.159	8
14.97.52.85	8
185.246.188.67	8
220.125.184.57	8
209.38.238.144	8
45.128.232.62	7
128.31.0.13	7
38.97.116.244	7
162.247.74.202	7
162.247.74.200	7
45.95.147.220	7
194.26.135.235	7
144.172.73.16	7
218.92.0.35	7
112.187.236.253	7
43.128.108.240	7
218.92.0.17	7
104.244.78.233	7
27.151.1.54	7
220.71.79.7	7
180.76.208.113	7
162.142.125.225	7
162.142.125.224	7
162.142.125.226	7
68.178.161.31	7
167.248.133.36	7
124.153.165.218	7
149.202.74.37	7
121.129.93.181	7
107.172.103.170	7
68.183.132.72	7
20.120.101.57	7
185.220.101.64	7
194.88.60.175	7
162.243.116.41	7
45.61.187.229	7
218.92.0.56	7
198.96.155.3	7
43.142.40.254	7
125.34.240.33	7
165.232.164.156	7
43.143.79.16	7
165.22.16.134	7
175.207.13.22	7
201.99.120.13	7
185.246.188.74	7
45.154.98.173	7
165.232.172.205	7
134.209.79.45	7
185.180.143.15	7
167.94.138.33	7
167.94.138.35	7
175.143.127.125	7
159.65.64.70	7
162.247.74.213	7
80.94.95.18	7
71.246.211.21	7
162.142.125.11	7
171.25.193.25	7
146.59.233.75	7
203.199.243.13	7
212.33.250.241	7
43.138.60.169	7
218.92.0.24	7
218.92.0.27	7
14.29.218.130	7
179.43.177.244	7
162.247.74.7	7
167.94.138.124	7
167.94.138.125	7
194.110.203.131	7
103.63.108.25	7
103.82.21.117	7
185.56.83.83	7
64.226.74.194	7
162.142.125.217	7
139.99.101.36	7
218.92.0.113	7
45.168.176.34	7
211.224.63.169	7
95.128.43.164	7
104.244.76.13	7
183.104.247.190	7
89.248.167.131	7
185.129.62.63	7
185.129.62.62	7
113.140.8.194	7
165.232.117.69	7
104.192.3.74	7
192.42.116.26	7
43.131.36.15	7
59.47.112.161	7
185.243.218.110	7
185.34.33.2	7
121.190.225.122	7
218.92.0.98	7
185.165.190.34	7
59.2.2.79	7
128.199.19.74	6
192.42.116.24	6
144.172.118.36	6
128.199.99.204	6
185.220.101.1	6
174.138.27.246	6
64.227.126.83	6
23.129.64.221	6
134.122.86.44	6
51.38.112.61	6
201.217.195.226	6
183.136.225.43	6
178.54.13.19	6
139.59.41.127	6
128.199.74.173	6
91.206.27.26	6
128.199.177.90	6
23.95.41.40	6
51.91.151.44	6
114.216.6.4	6
60.30.98.194	6
162.247.74.204	6
159.65.41.104	6
45.95.147.221	6
88.214.25.16	6
185.180.143.143	6
147.78.103.248	6
218.157.215.31	6
193.123.111.214	6
142.93.196.106	6
201.28.105.119	6
101.32.31.213	6
159.89.236.71	6
197.248.59.228	6
64.62.197.139	6
79.104.0.82	6
107.189.31.134	6
178.17.171.102	6
101.206.243.239	6
121.137.203.25	6
61.80.179.118	6
176.97.210.30	6
198.12.229.101	6
118.35.125.107	6
103.82.145.161	6
167.172.98.89	6
59.127.158.223	6
1.117.230.97	6
115.241.167.73	6
190.103.240.4	6
112.64.32.118	6
172.104.11.34	6
66.240.236.119	6
79.137.196.4	6
118.123.105.85	6
51.178.30.100	6
71.6.199.23	6
202.51.74.123	6
167.71.54.30	6
172.104.137.47	6
194.165.16.37	6
218.92.0.31	6
211.112.187.197	6
175.170.149.29	6
185.216.71.148	6
121.181.182.230	6
92.222.108.86	6
59.23.20.149	6
45.79.181.251	6
49.232.167.204	6
195.176.3.24	6
198.23.148.137	6
121.146.4.161	6
103.154.94.27	6
43.142.23.15	6
167.248.133.191	6
2.58.56.88	6
122.184.65.226	6
218.255.245.10	6
202.77.105.98	6
34.159.227.146	6
94.102.49.190	6
94.102.49.193	6
27.71.238.208	6
159.89.230.196	6
185.220.102.244	6
185.220.102.247	6
185.220.102.243	6
185.220.102.248	6
188.235.159.9	6
161.35.108.241	6
61.73.179.53	6
104.248.248.145	6
